ID,Activity,Cluster,Classification
2723_1,"Productive activities: Develop economic alternatives compatible with community well-being and nature conservation. This will be achieved through activities such as designing and prioritizing productive activities, strengthening technical capacities of communities, implementing productive systems, and monitoring the implemented systems.",10,community
2723_2,"Social Investment: Improve living conditions of the communities through activities such as identifying and prioritizing community needs, providing facilities and scholarships for education, improving medical care mechanisms, and improving basic sanitation conditions.",14,community
2723_3,"Governance: Strengthen land use planning and mechanisms to guarantee food security for the communities. This includes preparing the Community Ethno-development Plan, strengthening local minor councils, and implementing activities defined in the ethno-development plan.",11,community
2723_4,"Monitoring and forest governance: Contribute to biodiversity monitoring and conservation through activities such as strengthening capacities of forest rangers, providing tools for forest management, and monitoring biodiversity within the community council.",10,biodiversity
2611_1,"Standardized Benefit Metrics: Measurement of net estimated emission removals and reductions in the project area, estimated forest loss reduction, and other metrics related to GHG emissions and forest cover.",12,carbon
2611_2,Land with woody vegetation definition: Establishment of internationally accepted criteria for what constitutes a forest in the project area.,11,carbon
2611_3,"Forego Selling of Property, Then Clearing and Conversion of the Project Areas: Negotiation with landowners to prevent clearing and conversion of the project areas to non-forest land.",15,carbon
2611_4,Provide Health Services: Establishment of a healthcare service called Chaco Med to provide medical treatment to local communities and project personnel.,14,community
2611_5,Raise Project Awareness: Engagement with local communities and stakeholders to increase awareness about the project and its objectives. Development of a visitor center to educate visitors about the project.,6,project management
2611_6,"Patrol and Monitor Deforestation: Surveillance activities, including aerial and ground monitoring, to detect and prevent deforestation in the project areas. Establishment of guard houses and hiring of local guards.",15,carbon
2611_7,"Establish a Project Headquarters: Construction of regional and secondary project headquarters to serve as meeting places, training centers, and accommodation for project staff and visitors.",6,project management
2611_8,Monitor Medium-to-Large Mammals in the Project Areas: Monitoring of medium-to-large mammals in the project areas using wildlife cameras to assess the biodiversity impact of the project.,10,biodiversity
2566_1,"Management area: Strengthening area management through technical, administrative, and institutional capacities to promote protection and production of the Pantanal ecosystem. Includes promoting harmonization of environmental management, reducing deforestation, and improving conservation-human production relationships.",10,carbon
2566_2,"Environmental monitoring: Generating a balance between control and inspection activities, with continuous diagnosis of the ecosystem. Includes monitoring project activities, providing useful knowledge for medium and long-term actions, and building community capacity.",10,biodiversity
2566_3,"Environmental control and inspection: Building capacities to promote strengthening of interest groups, formulation and adoption of management measures. Includes creating patrol groups, uniting partners, raising awareness, and strengthening community forest-tenure rights.",11,community
2566_4,"Communication: Creating effective communication and dissemination channels, providing access to information about REDD+, and raising awareness among stakeholders. Includes promoting transparency, community participation, and gender and community inclusion.",2,project management
2566_5,"Fire prevention: Reducing threats to fauna and flora through prevention of natural and anthropogenic fires. Includes training, workshops, and community capacities for fire management, prevention, restoration, and suppression.",11,carbon
2566_6,"Environmental education and capacity building: Building environmental education and awareness, promoting preservation of the ecosystem, and strengthening collective work. Includes training, sustainable productive activities, ecotourism practices, and capacity building for communities.",10,community
2566_7,"Strategic actions: Generating a balance between stakeholder priorities and funding to develop projects. Includes integrating project objectives, meetings, new projects, and new financial sources.",6,project management
2558_1,"Description of the Project Activity: The main objective of the present REDD project is the conservation of 145,680.7882 ha of Amazon rainforest area within a private land named “Fazenda Pacajá”.",15,carbon
2551_1,"Description of the Project Activity: The project aims to preserve the Amazon native vegetation through income generation from carbon credits commercialization. It works by avoiding deforestation in private properties that would have part of its forest cover legally suppressed. The main activity is the execution of long-term agreements with landowners for the conservation of native vegetation cover. Complementary activities include leakage mitigation, promoting net benefits to communities, biodiversity conservation, and project monitoring.",15,carbon
2539_1,"Project Area Description: The EVERGREEN REDD+ PROJECT consists of a 130,554.8 hectare total Project Area of protected Amazon rainforest.",15,carbon
2539_2,"Deforestation Avoidance: The project is predicted to avoid 44,818.5 hectares of deforestation, resulting in emissions reductions of 30,424,829 CO2e over the project lifetime.",15,carbon
2539_3,"Discontinuation of Planned Deforestation: The project proponents have discontinued plans to deforest a total of 26,470.88 hectares over five years, resulting in avoided carbon emissions of 17,969,648 tCO2e.",15,carbon
2539_4,"Factors Contributing to Deforestation: Factors contributing to deforestation include price increases, major infrastructure works, and weakening of environmental regulations.",15,carbon
2539_5,"Sustainable Forest Management: The project plans to implement Sustainable Forest Management (SFM) activities, including the harvesting of forest products, while ensuring the conservation and regeneration of the natural stock.",0,carbon
2539_6,"Forest Management Plan: A Sustainable Forest Management Plan (SFMP) may be implemented during the project period, with a predicted total area of 2,793.40 hectares for SFM activities.",0,carbon
2539_7,"Forest Management Guidelines: The forest management guidelines include minimal cutting cycles, tree selection criteria, and restrictions on deforestation in certain areas.",0,carbon
2539_8,Forest Inventory and Harvesting Plan: A complete forest inventory will be conducted to assess the area's forestry potential and develop a timber harvesting plan.,0,carbon
2539_9,Forest Stewardship Council Certification: The future SFMP will be certified by the Forest Stewardship Council (FSC) to ensure low-impact harvest systems and ecological balance.,0,biodiversity
2539_10,"Discontinued Planned Deforestation Activities: Planned deforestation activities totaling 26,471 hectares have been discontinued according to the project's methodology.",15,carbon
2539_11,Jurisdictional and Nested REDD (JNR): The project is not currently located within a jurisdiction covered by a jurisdictional or nested REDD+ program.,12,carbon
2538_1,"Establishment and maintenance of infrastructure: Construction and equipping of operational bases that allow the deployment of well-trained and equipped eco-guards (rangers) and eco-monitors across the entire PA. This activity supports all operational, surveillance, and management activities.",10,project management
2538_2,"Training and equipment of rangers: Providing training and necessary equipment to rangers to maintain control over the project area and enforce the law, reducing pastoralists' entry, human encroachment, poaching, and illegal timber collection.",3,community
2538_3,"Trainings, engagement, and awareness sessions with transhumant pastoralists: Conducting trainings, engagement sessions, and awareness sessions with transhumant pastoralists to build trust and understanding of concepts such as carrying capacity of the land, environmental impacts, and disease transmission from cattle to fauna.",3,community
2538_4,"Implementation of sustainable Income Generating Activities (IGAs): Implementing IGAs to provide livelihood benefits for local communities, diversify the local economy, and decrease dependence on agriculture. IGAs include bee-keeping, agricultural activities (such as sesame, soya farming, and organic cotton production), and financing of microprojects.",8,community
2538_5,"Education activities: Enhancing the understanding of long-term conservation challenges and biodiversity richness among the new generations through educational programs in schools surrounding the project area. Activities include school visits, providing educational material, salary payment for teachers, and support for wildlife clubs.",10,biodiversity
2508_1,"Project Area Description: The project consists of a 99,035.20 hectares total Project Area of protected native forests located in the municipality of Lábrea, which has a high deforestation rate. The project is not located within a jurisdiction covered by a jurisdictional REDD+ program.",15,carbon
2508_2,"Deforestation Trends: There has been a consistent year-on-year increase in deforestation in the State of Amazonas, with a 147% overall increase from 2009 to 2018. Factors contributing to deforestation include increase in prices for agricultural products, major infrastructure works, and weakening of environmental regulations.",15,carbon
2508_3,"Threats to the Project Area: The project area is at risk of deforestation due to the expansion of roads, land grabbing, and illegal logging. There is also a history of illegal land occupation in the region.",15,carbon
2508_4,"Project Activities: The project conducts activities such as Sustainable Forest Management, cattle farming, and no economic activity on its properties. Surveillance bases have been installed to combat deforestation, and more are planned. The project also aims to fight leakage sources through proactive initiatives.",15,carbon
2502_1,"Project diffusion: Promote the diffusion of the project through workshops, brochures, and diffusion programs.",6,project management
2502_2,FMU Protection Integral Plan implementation: Implement the protection integral plan for the FMU (Forest Management Unit).,0,carbon
2502_3,Satellite monitoring and field assessment of sectors with risk of invasion: Monitor sectors with a risk of invasion using satellite monitoring and field assessments.,5,biodiversity
2502_4,Support pilot sustainable productive initiatives of surrounding communities: Support pilot initiatives by surrounding communities to reduce the expansion of agrarian activities and improve livelihood conditions.,4,community
2502_5,Strengthen/develop skills and capacities in family members and local company workers: Strengthen and develop skills and capacities in family members and local company workers who are part of selected projects.,4,community
2502_6,"Participate in dialogue spaces and management of Protected Areas: Participate in dialogue spaces and contribute to the management of Protected Areas, including the Territorial Reserve Madre de Dios.",9,biodiversity
2502_7,Promote activities to protect ANP and PIACI territories: Promote activities with entities to protect ANP (National Park) and PIACI (isolated and initially contacted indigenous people) territories.,10,biodiversity
2502_8,Promote activities to protect emblematic fauna and flora species: Promote activities with entities to protect emblematic fauna and flora species.,10,biodiversity
2502_9,Promote activities to contribute to the sustainable development of the population: Promote activities with entities to contribute to the sustainable development of the population prioritized by the Consulting Committee of Community Relationship.,4,community
2502_10,Implement Reduced Impact Logging techniques in the FMU: Implement Reduced Impact Logging techniques in the Forest Management Unit (FMU) to ensure a healthy wildlife population.,0,biodiversity
2502_11,"Develop and implement mechanisms for the diffusion of environmental education: Develop and implement mechanisms to diffuse environmental education within children, teenagers, and surrounding communities.",10,community
2373_1,Conserving the region in Amazonas state,1,carbon
2373_2,Avoiding unplanned deforestation,1,carbon
2373_3,Monitoring the area,5,no classification
2373_4,Mapping deforestation,1,carbon
2373_5,Partnering with education and research institutions,13,project management
2373_6,Involving surrounding communities,14,community
2373_7,Minimizing invasions and illegal deforestation,1,carbon
2373_8,Increasing satellite monitoring,5,carbon
2373_9,Overflight,5,no classification
2373_10,On-site monitoring posts,5,project management
2373_11,Socio-environmental education,14,community
2373_12,Community involvement,14,community
2373_13,Implementing improvement actions,13,project management
2373_14,Maintaining the SocialCarbon Standard,12,project management
2293_1,"Preventing large-scale unsustainable industrial timber harvesting and production: The project proponent will prevent large amounts of forest degradation by preventing large-scale unsustainable industrial timber harvesting and production, reducing GHG emissions.",15,carbon
2293_2,"Monitoring and preventing illegal logging: The project will monitor the region to identify and prevent further illegal logging, reducing deforestation caused by secondary agents of deforestation and GHG emissions.",15,carbon
2293_3,"Providing electricity through sustainable means: The project will provide electricity in the region through solar, water, or geothermal means, reducing the demand for logged or harvested firewood and indirectly reducing the supply of wood products by providing alternative livelihood options.",2,community
2293_4,"Increasing access to co-benefits: The project will increase access to co-benefits such as education, technology, clean water, and healthcare in the region, expanding opportunities for alternative livelihoods and indirectly decreasing pressure on local forests.",2,community
2293_5,"Supporting clan business ventures and economic opportunity: The project will support clan business ventures and economic opportunities through sustainable options, offering alternative livelihoods that do not result in damage to the forest.",2,community
2293_6,"Implementing safeguards and promoting stakeholder involvement: The project will implement safeguards to ensure stakeholder involvement, including creating leadership roles for women and involving women in decision-making processes, reducing deforestation risk by increasing stakeholder support.",2,community
2293_7,"Facilitating the formation and meetings of committees: The project will facilitate the formation and meetings of committees within each PAI to build capacity, distribute project benefits fairly, and provide alternative livelihood options, reducing the need for income from secondary deforestation.",2,community
2278_1,"Identification of productive projects in the surrounding communities: The project will identify productive projects in the surrounding communities, in agreement with local settlements, to ensure appropriateness and community ownership.",2,community
2278_2,"Capacities strengthening of stakeholders’ organizations: The project will strengthen the technical, entrepreneurial, organizational, and commercial capacities of stakeholders' organizations to support the success of productive initiatives.",4,community
2278_3,"Promotion of sustainable productive projects: With the enabling conditions of identified projects and strengthened capacities, the project will promote the implementation of sustainable productive projects.",4,community
2278_4,"Implementation of research projects: In addition to productive activities, the project will implement research projects to improve techniques, develop new raw materials and processes, and maximize the value obtained from the productive activities.",6,project management
2278_5,"Design of a protection plan of the project area: The project will design an integrated protection plan for the project area to diminish the risk of illegal activities, such as land clearance, illegal logging, and forest fires.",15,carbon
2278_6,Building/improvement of control and surveillance infrastructure: The project will build new control and surveillance infrastructure or improve existing ones as part of the protection plan.,5,carbon
2278_7,"Periodical patrolling: Regular patrolling will be conducted to identify anthropogenic actions that cause deforestation or degradation, such as agrarian or settlement purposes and illegal logging.",15,carbon
2278_8,"Forest fire prevention patrolling: Specific patrolling will be carried out to detect and prevent forest fires, particularly those caused by neighboring agrarian plots.",5,carbon
2278_9,"Land demarcation, border maintenance, and signaling: The project will earmark the concession borders with milestones and maintain them periodically to clearly indicate the boundaries and enforce restrictions.",5,project management
2278_10,"Socialization of REDD+ project: The project will conduct meetings with public and private stakeholders to explain the role of the REDD+ project and its positive impacts, particularly on climate change.",2,project management
2278_11,"Dialogues about environmental crimes and legal framework: The project will organize meetings to share and train stakeholders about the legal framework related to forests, emphasizing types of environmental crimes and associated sanctions.",11,community
1953_1,Enactment of the resource management plan (RMP),0,project management
1953_2,Financial distribution and support for social developmental activities,14,community
1953_3,Implementation of a monitoring program,5,project management
1953_4,Promotion of sustainable economic activities,13,community
1953_5,Integration of land management into the socioeconomic and political climate,11,no classification
1953_6,"Fortification of management, governance, and technical capacities",13,no classification
1953_7,Capacity building and training,13,project management
1953_8,Minimization of illegal activities,1,no classification
1953_9,Promotion of community participation,14,community
1953_10,Development of businesses through external funding,13,no classification
1953_11,Diversification of food through agroforestry practices,8,community
1953_12,Improvement of livelihoods through capacity building,13,community
1953_13,Environmental monitoring and scientific research,5,biodiversity
1953_14,Establishment of partnerships with universities and research institutions,13,project management
1953_15,Implementation of long-term biodiversity monitoring,10,biodiversity
1953_16,Conducting scientific research on key species and their importance,10,biodiversity
1953_17,Construction of eco-bridges for Capuchin monkeys,1,biodiversity
1953_18,Mitigation of impacts on regional biodiversity,10,biodiversity
1953_19,Engagement of the local community in biodiversity monitoring,10,community
1953_20,Preservation of threatened species,1,biodiversity
1900_1,"Enactment of the Makame WMA Resource Management Plan: The project aims to support the implementation of the Makame WMA Resource Management Plan by distributing finances, providing support, and implementing a monitoring program.",10,project management
1900_2,Implementation of project activities by the Authorized Association on behalf of the WMA: The project activities will be implemented by the Authorised Association on behalf of the WMA.,6,project management
1900_3,Development of project activities through The Nature Conservancy's Conservation Action Plan Methodology: The project activities were developed through The Nature Conservancy's Conservation Action Plan Methodology in a workshop held in Makame.,10,project management
1900_4,"Participation of stakeholders in the Conservation Action Plan workshop: Stakeholders, including Makame WMA leadership, representatives from the Authorized Association Consortium (AAC), and various community groups, participated in the Conservation Action Plan workshop.",10,project management
1900_5,"Creation of a theory of change: The project has developed a theory of change that outlines the causal relationships between project activities, outputs, outcomes, and impacts.",6,project management
1900_6,"Mapping of project activities to the theory of change: The project has mapped the project activities to the theory of change, showing how each activity contributes to the desired outcomes and impacts.",6,project management
1897_1,"Increase local capacity and resources for effective forest management: Training village committees in good governance and project management, increasing the number of Village Game Scouts (VGS), providing training and resources to VGS, training VGS on forest law enforcement and forest inventory, including fire management in village forest reserves, and training community members and leaders on good governance of natural resources and gender equity.",11,community
1897_2,"Improve local livelihoods for villagers, including marginalized and vulnerable groups: Providing carbon revenues to support village development, technical support for tree plantations, land use planning for legal farming and grazing, training and grants to Community Conservation Banks (Cocoba) for micro-finance, and training on entrepreneurship to women's groups and young mothers.",2,community
1897_3,"Provide quality reproductive health: Conducting counseling on reproductive health, supporting training of trainers on reproductive health issues, raising awareness and access to reproductive health choices, and improving women's reproductive health.",4,community
1882_1,"Design and development of strategies for organizational strengthening: This activity involves designing and developing strategies to strengthen the organization within the project area. It includes applied research, promotion of alternative production techniques, and improvement of agricultural practices.",4,project management
1882_2,"Environmental education and training: This activity focuses on implementing programs, agreements, or contracts for environmental education in the project area. It includes supporting local authorities, developing joint environmental activities, and promoting access to formal or non-formal education programs.",10,community
1882_3,"Biodiversity monitoring and restoration: This activity involves monitoring biodiversity and restoring ecosystems within the project area. It includes maintaining dialogue between project stakeholders, carrying out campaigns to inform about the project, and training residents in environmental topics.",10,biodiversity
1882_4,"Organization and governance: This activity aims to improve the capacities and organization level of the residents within the project area. It includes improving offices and conservation stations, coordinating actions with authorities and residents, and establishing patrols to guard against illegal logging.",11,project management
1882_5,"Controlling migration: This activity focuses on assisting residents in developing land-use plans and clarifying the inexistence of 'free lands' within the project area. It includes raising awareness about the forest's potential and limitations, supporting authorities in land-use regulatory compliance, and providing technical support to residents.",11,community
1799_1,Training for forest management: Develop training and workshops to strengthen the capacities of community members to properly manage their forest resources.,11,community
1799_2,Training for agroforestry systems: Provide training to community members on the development of agroforestry systems to avoid deforestation and forest degradation and promote food security and community income.,8,community
1799_3,Training for the use of shiringa: Offer training to community members on the use of shiringa as a sustainable resource.,3,community
1799_4,Training for piscigranjas installation: Conduct trainings for community members on the installation and management of piscigranjas.,3,community
1799_5,Training for crafts development: Provide training for community members in the development of crafts.,4,community
1799_6,Training for control and surveillance: Deliver training to community members to strengthen their control and surveillance capabilities.,5,community
1799_7,Training for economic resources management: Provide training to community members on the management of economic resources for control and surveillance activities.,11,community
1799_8,Acquisition of equipment for control and surveillance: Acquire equipment to increase the number of brigades for control and surveillance activities.,5,project management
1799_9,Development of early warning system: Develop an early warning system for control and surveillance in a participatory manner.,5,community
1799_10,Promotion of participation and leadership of women: Promote the participation and leadership of women in community activities.,4,community
1799_11,Organizational management training: Provide training on organizational management to strengthen community committees.,4,community
1799_12,Update of management documents: Update community management documents to ensure effective forest governance.,11,project management
1799_13,Generation of strategic alliances: Establish strategic alliances with external institutions to support the objectives of the project.,4,project management
1775_1,"Reducing poverty through social development, enhanced rights, governance empowerment, and improved livelihoods.",13,community
1775_2,Implementing conservation agriculture to reduce emissions from farming and prevent soil nutrient depletion.,8,carbon
1775_3,Diversifying income streams through non-timber forest products such as honey production.,8,community
1775_4,Reducing habitat loss and improving wildlife corridors through increased monitoring and anti-poaching activities.,1,biodiversity
1775_5,Developing Participatory Forest Management Plans (PFMP) and Community Forest Management Agreements (CFMA) in consultation with local communities.,0,community
1775_6,"Using FPIC meetings to develop community livelihood profiles, prioritize community needs, and design project interventions.",2,community
1775_7,"Providing support for improvement of social services such as school infrastructure, health care centers, safe drinking water, and river crossing facilities.",14,community
1775_8,"Supporting improvement of agriculture, horticulture, apiculture, and aquaculture production techniques and creating market linkages.",8,community
1775_9,Supporting school environmental education programs and creating job opportunities for the local community.,14,community
1775_10,Developing agroforestry demonstration plots and training farmers in conservation farming techniques.,8,community
1775_11,"Establishing apiary demonstration plots, training lead farmers in hive construction and maintenance, and distributing beehives to participating households.",8,community
1775_12,Supporting the development of value chains in non-timber forest products and promoting improved apiculture techniques.,8,community
1775_13,"Providing support for infrastructure development, including the construction and rehabilitation of school and clinic infrastructure.",14,community
1775_14,Improving water supply through drilling boreholes and improving existing wells.,13,community
1775_15,"Conducting regular patrols, aerial monitoring, and anti-poaching activities to protect the project area from encroachment and poaching.",1,biodiversity
1775_16,Monitoring high conservation value species and adapting management strategies based on wildlife populations.,10,biodiversity
1775_17,Generating employment opportunities for village scouts and reducing emissions through conservation efforts.,1,community
1765_1,Strengthening governance: Support and/or strengthen farmer organizations or producers' associations in the area.,4,community
1765_2,Technical assistance to improve production systems: Provide guidance and support to farmers in improving their production systems and implementing good agricultural practices.,4,community
1765_3,Environmental education: Educate and raise awareness about environmental issues through visits to pilot farms and research on good agricultural practices.,4,community
1765_4,"Establishment of pilot farms: Create pilot farms for livestock, passion fruit, beans, and jaggery (sugarcane product).",8,community
1765_5,"Establishment of beehives: Set up beehives, develop beekeeping chain, and characterize honey and propolis in the biological corridor.",10,biodiversity
1765_6,Establishment of cost-efficient burners and living fence trees: Install cost-efficient burners and plant living fence trees to reduce deforestation.,15,carbon
1765_7,Implementation of revolving funds: Create revolving funds in municipalities to provide faster capital for farmers to invest in improving production systems.,4,community
1765_8,Design and feasibility of the Environmental Center: Develop the design and feasibility of an Environmental Center in Marengo farm.,4,project management
1765_9,"Credit lines: Offer credit lines, microcredits, and revolving funds to provide capital for farmers to invest in production systems.",4,community
1765_10,Payment for environmental services: Implement a system of payment for environmental services or conservation incentives to increase the value of standing forests and avoid deforestation.,15,carbon
