Project_ID,Total_Activities,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Classification_biodiversity,Classification_carbon,Classification_community,Classification_no classification,Classification_project management
1047,7,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,1,0,0,1,3,3,0,0
1067,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1
1094,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,1,0,0,4,4,0,1
1112,8,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,3
1113,8,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,3
1133,7,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,0,0,1,2,0,4
1175,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,1
1202,29,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6,22,0,1
1215,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,3,0
1218,13,0,0,0,0,0,0,0,0,3,0,4,3,2,0,0,1,0,0,1,5,5,0,2
1311,8,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0,2
1360,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1
1382,6,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1,0,3
1384,6,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,2
1398,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
1403,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,6,2,0,1
1532,7,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,2,3,0,1
1541,13,2,0,0,0,2,1,1,0,1,1,4,1,0,0,0,0,0,0,3,1,8,0,1
1566,4,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,2
1654,8,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,1,3,4,0,0
1674,13,0,5,0,0,0,1,0,0,3,0,0,1,0,1,0,1,1,0,3,2,5,2,1
1695,7,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,3,4,0,0
1704,12,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,1,5,1,5
1765,13,0,0,0,0,7,0,0,0,1,0,1,2,0,0,0,2,0,0,1,3,7,0,2
1775,17,1,3,1,0,0,0,0,0,6,0,1,0,0,2,3,0,0,0,3,1,13,0,0
1799,13,0,0,0,2,4,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,10,0,3
1882,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,2
1897,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
1900,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6
1953,20,1,3,0,0,0,2,0,0,1,0,4,1,0,6,2,0,0,0,6,0,6,4,4
2278,11,0,0,2,0,2,3,1,0,0,0,0,1,0,0,0,2,0,0,0,4,4,0,3
2293,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0
2373,14,0,4,0,0,0,4,0,0,0,0,0,0,1,2,3,0,0,0,0,5,3,2,4
2502,11,2,0,0,0,3,1,1,0,0,1,3,0,0,0,0,0,0,0,5,1,4,0,1
2508,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
2538,5,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,1
2539,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,10,0,0,0
2551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2566,7,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,2,2,0,2
2611,8,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,2,0,0,1,4,1,0,2
2723,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,3,0,0
832,8,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,1,5,0,1,1
844,6,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,1
852,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
856,6,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6
868,6,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,1,2,3,0,0
875,12,2,2,0,0,0,2,0,0,0,0,0,2,3,0,0,1,0,0,0,7,3,0,2
904,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,1,0,1
934,12,0,3,0,0,0,1,0,0,3,0,0,0,0,3,1,0,1,0,1,3,8,0,0
944,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,3,0,0,1
953,11,0,0,2,0,0,0,0,0,0,4,3,1,0,0,0,1,0,0,3,2,4,0,2
958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
963,7,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,1
965,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0
